Mes y ano de ocurrencia;Azuay;Bolivar;Canar;Carchi;Cotopaxi;Chimborazo;El Oro;Esmeraldas;Guayas;Imbabura;Loja;Los Rios;Manabi;Morona Santiago;Napo;Pastaza;Pichincha;Tungurahua;Zamora Chinchipe;Galapagos;Sucumbios;Orellana;Santo Domingo de los Tsachilas;Santa Elena;Zona no delimitada
ago-14;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
sep-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0
oct-14;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
nov-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;1;0
dic-14;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0
ene-15;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
feb-15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
mar-15;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;1;0;0
abr-15;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
may-15;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0
jun-15;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
jul-15;1;0;0;0;1;1;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
ago-15;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0
sep-15;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0
oct-15;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
nov-15;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0
dic-15;0;0;0;0;0;1;0;1;2;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0
ene-16;0;0;1;0;0;0;0;0;2;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0
feb-16;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0
mar-16;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0
abr-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
may-16;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;3;0;0;0;0;1;0;0;0
jun-16;0;0;0;0;0;0;1;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
jul-16;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0;0;0;0;0;2;0;0
ago-16;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0
sep-16;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;3;0;0;0;1;0;1;0;0
oct-16;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0
nov-16;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0
dic-16;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
ene-17;0;1;0;0;2;0;2;0;3;1;0;1;2;0;0;0;2;0;0;0;0;1;0;0;0
feb-17;0;0;0;0;0;1;0;0;2;0;0;4;1;0;0;0;0;0;0;0;0;1;0;1;0
mar-17;1;0;0;0;0;0;0;3;2;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
abr-17;1;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
may-17;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0
jun-17;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;2;0;1;0;1;0;1;1;0
jul-17;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;3;2;0;0;0;0;0;1;0
ago-17;2;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0
sep-17;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
oct-17;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nov-17;0;0;0;0;0;0;2;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0
dic-17;1;1;0;0;0;0;0;0;2;0;1;1;1;0;0;0;4;1;0;0;0;0;0;0;0
ene-18;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;2;0;0;0;1;0;0;0
feb-18;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
mar-18;0;0;0;0;0;1;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0
abr-18;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0
may-18;0;1;0;0;0;0;1;0;1;2;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0
jun-18;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
jul-18;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
ago-18;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0
sep-18;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
oct-18;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
nov-18;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
dic-18;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0
ene-19;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
feb-19;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
mar-19;0;0;0;1;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
abr-19;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0
may-19;0;0;0;0;0;0;0;0;3;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
jun-19;1;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
jul-19;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
ago-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
sep-19;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
oct-19;0;0;0;0;0;0;1;0;2;0;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0
nov-19;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
dic-19;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0
ene-20;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
feb-20;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
mar-20;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
abr-20;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
may-20;1;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0
jun-20;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
jul-20;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0
ago-20;1;0;0;1;1;0;1;0;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
