Mes y ano de ocurrencia;Azuay;Bolivar;Canar;Carchi;Cotopaxi;Chimborazo;El Oro;Esmeraldas;Guayas;Imbabura;Loja;Los Rios;Manabi;Morona Santiago;Napo;Pastaza;Pichincha;Tungurahua;Zamora Chinchipe;Galapagos;Sucumbios;Orellana;Santo Domingo de los Tsachilas;Santa Elena;Zona no delimitada
ene-14;3;1;1;3;3;2;11;19;46;2;0;24;8;1;0;0;10;0;0;0;6;6;5;0;0
feb-14;3;0;3;0;4;1;4;8;26;4;1;14;6;0;1;1;15;0;0;0;3;0;6;1;0
mar-14;3;1;2;0;0;0;6;12;40;1;3;19;8;1;1;0;14;0;0;0;2;1;13;2;0
abr-14;5;0;4;1;0;1;11;8;30;2;3;11;5;0;0;3;18;2;0;0;9;1;5;1;0
may-14;3;0;1;1;3;1;6;10;28;0;1;13;6;2;0;0;23;2;0;0;2;2;2;1;0
jun-14;5;2;0;0;1;1;6;13;40;2;1;8;5;2;1;1;13;0;0;0;4;5;4;1;0
jul-14;1;2;1;1;1;2;5;10;16;0;1;12;9;0;1;0;16;0;0;0;1;1;2;0;0
ago-14;6;1;0;1;3;3;1;17;32;7;1;6;10;0;2;1;15;0;0;0;2;2;3;0;1
sep-14;3;0;0;1;0;1;7;7;26;1;2;12;9;0;2;0;7;1;0;0;1;2;7;1;0
oct-14;1;1;4;0;1;1;4;8;23;1;2;6;4;0;1;0;14;3;1;0;4;2;0;1;0
nov-14;1;2;3;1;0;1;8;12;37;0;2;5;8;1;1;1;9;2;2;0;6;0;3;1;0
dic-14;3;0;1;0;0;1;9;8;38;3;0;11;13;0;0;0;14;1;1;0;5;1;3;1;0
ene-15;1;2;1;3;3;2;3;12;21;0;5;12;10;0;0;3;11;1;0;0;1;0;2;2;3
feb-15;1;0;3;0;2;4;7;4;19;3;1;5;5;0;0;1;13;0;0;0;7;2;3;2;0
mar-15;3;2;0;2;1;1;10;10;34;2;0;2;9;0;0;0;13;1;1;0;8;1;4;2;0
abr-15;3;0;1;1;0;1;3;6;32;0;0;10;9;0;1;0;8;2;1;0;3;1;1;1;1
may-15;3;0;0;1;1;2;5;9;34;2;1;13;3;0;0;0;12;1;0;0;1;2;3;2;0
jun-15;5;1;0;1;3;0;8;9;34;1;0;11;11;1;0;0;11;0;1;0;1;0;1;1;0
jul-15;2;0;0;0;1;3;2;4;28;2;0;5;8;1;0;0;9;1;0;0;1;1;6;1;0
ago-15;2;0;1;0;1;1;6;10;20;1;0;6;8;1;2;1;9;1;0;0;4;1;2;1;0
sep-15;1;1;2;0;2;4;6;6;24;3;0;7;6;1;2;0;10;1;0;0;1;2;2;1;0
oct-15;3;0;2;1;1;0;6;11;32;3;1;6;8;0;0;1;8;0;0;0;3;0;3;0;0
nov-15;4;0;1;0;0;1;4;7;26;4;3;1;4;2;1;1;18;0;0;0;1;1;1;2;0
